"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MikeZeigle: WOW! Look who's #hiring Momenta Pain Care in Omaha Nebraska is #hiring for a Radiology Technologist #radiology #Healthcare…",FALSE,0,NA,2022-10-29 23:51:36,FALSE,NA,"1586506063339102208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",5,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: WOW! Look who's #hiring Momenta Pain Care in Omaha Nebraska is #hiring for a Radiology Technologist #radiology #Health…",FALSE,0,NA,2022-10-29 23:51:20,FALSE,NA,"1586505999619215360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",3,TRUE,FALSE,NA,NA
"RT @MikesJoblist: WOW! Look who's #hiring Momenta Pain Care in Omaha Nebraska is #hiring for a Radiology Technologist #radiology #Healthcar…",FALSE,0,NA,2022-10-29 23:51:06,FALSE,NA,"1586505939263270912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",5,TRUE,FALSE,NA,NA
"RT @MikesJoblist: WOW! Look who's #hiring Momenta Pain Care in Omaha Nebraska is #hiring for a Radiology Technologist #radiology #Healthcar…",FALSE,0,NA,2022-10-29 23:50:36,FALSE,NA,"1586505812130009088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",4,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: WOW! Look who's #hiring Momenta Pain Care in Omaha Nebraska is #hiring for a Radiology Technologist #radiology #Health…",FALSE,0,NA,2022-10-29 23:50:04,FALSE,NA,"1586505681171087360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",4,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: WOW! Look who's #hiring Momenta Pain Care in Omaha Nebraska is #hiring for a Radiology Technologist #radiology #Health…",FALSE,0,NA,2022-10-29 23:49:38,FALSE,NA,"1586505571502465024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",4,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith is a powerful thing.” - Kenneth Copeland 

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLord #VictoryCam…",FALSE,0,NA,2022-10-29 23:34:01,FALSE,NA,"1586501641921998848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RefzBoloko",27,TRUE,FALSE,NA,NA
"RT @MikeZeigle: New #jobopenings The Okey Companion And Care Services LLC is #HIRINGNOW #Hiring in Omaha Nebraska #healthcare #healthcarepr…",FALSE,0,NA,2022-10-29 23:32:36,FALSE,NA,"1586501284387065858",NA,"<a href=""https://google.com"" rel=""nofollow"">JobsViaTweet</a>","jobsviatweet",6,TRUE,FALSE,NA,NA
"RT @FrontendLA: #Omaha #jobs #hiring #opportunity @ BunzlRetail Services. (Omaha, NE) - Class A CDL Driver https://t.co/1sG9v484cl",FALSE,0,NA,2022-10-29 23:32:36,FALSE,NA,"1586501284324048898",NA,"<a href=""https://google.com"" rel=""nofollow"">JobsViaTweet</a>","jobsviatweet",1,TRUE,FALSE,NA,NA
"RT @MikesJoblist: Hot new #jobopenings Momenta Pain Care in Omaha Nebraska is #hiring #HiringAlert for a Radiology Technologist and nurses…",FALSE,0,NA,2022-10-29 23:32:36,FALSE,NA,"1586501284257042432",NA,"<a href=""https://google.com"" rel=""nofollow"">JobsViaTweet</a>","jobsviatweet",5,TRUE,FALSE,NA,NA
