YEAR,NEWSFROM,HAPPY,RELIG,GRASS,COURTS,ENERGY,EDUC,ENVIR,POLVIEWS,PARTYID,REGION,INCOME,SEX,DEGREE,AGE,MARITAL,BALLOT
2010,Not applicable,Pretty happy,Catholic,Don't know,About right,Too little,Not applicable,Not applicable,Slightly liberal,Democrat,Middle atlantic,$25000 or more,Male,Bachelor,31,Never married,Ballot b
2010,Not applicable,Not too happy,None,Legal,Too harsh,Too little,Too little,Too little,Liberal,Democrat,Middle atlantic,$15000 - 19999,Female,Bachelor,23,Never married,Ballot b
2010,Not applicable,Not too happy,Catholic,Not applicable,Not harsh enough,Don't know,Too little,Too little,Don't know,Democrat,Middle atlantic,$20000 - 24999,Female,Lt high school,71,Divorced,Ballot a
2010,Not applicable,Not too happy,Catholic,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Liberal,Republican,Middle atlantic,$8000 to 9999,Female,Lt high school,82,Widowed,Ballot b
2010,Tv,Very happy,Protestant,Not legal,Not harsh enough,Don't know,About right,About right,Slightly liberal,Independent,Middle atlantic,Don't know,Female,Lt high school,78,Married,Ballot c
2010,Not applicable,Pretty happy,None,Legal,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Democrat,Middle atlantic,$10000 - 14999,Male,Lt high school,40,Never married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Don't know,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Female,Junior college,46,Divorced,Ballot c
2010,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,About right,About right,Too little,Moderate,Democrat,Middle atlantic,$20000 - 24999,Female,Junior college,80,Widowed,Ballot a
2010,Tv,Very happy,Catholic,Not legal,About right,Too little,Too little,Too little,Liberal,Democrat,Middle atlantic,Refused,Female,High school,31,Married,Ballot c
2010,Not applicable,Very happy,Catholic,Not applicable,Not harsh enough,Don't know,Not applicable,Not applicable,Extremely liberal,No answer,Middle atlantic,Refused,Female,High school,No answer,Never married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Don't know,Too harsh,About right,Too little,Too much,Liberal,Democrat,Middle atlantic,$25000 or more,Female,Junior college,31,Never married,Ballot b
2010,Not applicable,Pretty happy,None,Not applicable,Not harsh enough,Too little,Too little,Too little,Moderate,Independent,Middle atlantic,$25000 or more,Male,High school,21,Never married,Ballot a
2010,Not applicable,Pretty happy,Protestant,Not applicable,Too harsh,Too little,Too little,Too much,Extremely liberal,Democrat,Middle atlantic,$25000 or more,Male,High school,58,Married,Ballot a
2010,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Democrat,Middle atlantic,$20000 - 24999,Female,High school,36,Separated,Ballot a
2010,Not applicable,Not too happy,Catholic,Legal,Not harsh enough,Too much,Too much,Too little,Conservative,Independent,Middle atlantic,$15000 - 19999,Female,Lt high school,57,Married,Ballot b
2010,Not applicable,Very happy,Protestant,Don't know,Not harsh enough,About right,Not applicable,Not applicable,Slightly liberal,Independent,Middle atlantic,$4000 to 4999,Female,Lt high school,28,Never married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too little,About right,Too little,Conservative,Democrat,Middle atlantic,$10000 - 14999,Female,Junior college,80,Widowed,Ballot a
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Don't know,Not applicable,Not applicable,Moderate,Democrat,Middle atlantic,Don't know,Female,Lt high school,84,Widowed,Ballot b
2010,Tv,Very happy,Catholic,Not legal,Not harsh enough,About right,Too little,Too little,Slightly liberal,Independent,Middle atlantic,$25000 or more,Male,High school,51,Married,Ballot c
2010,Not applicable,Not too happy,Catholic,Not legal,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Independent,Middle atlantic,$25000 or more,Male,Bachelor,35,Never married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Male,High school,49,Divorced,Ballot b
2010,Not applicable,Very happy,Protestant,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Independent,Middle atlantic,$25000 or more,Male,High school,56,Married,Ballot a
2010,Not applicable,Pretty happy,Protestant,Not applicable,Don't know,Don't know,Too little,Too little,Don't know,Democrat,Middle atlantic,Don't know,Female,Lt high school,88,Never married,Ballot a
2010,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Democrat,Middle atlantic,$3000 to 3999,Female,Lt high school,23,Never married,Ballot b
2010,Not applicable,Pretty happy,None,Don't know,Too harsh,Too little,About right,Too little,Liberal,Democrat,Middle atlantic,$25000 or more,Female,Graduate,35,Married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Female,Bachelor,26,Never married,Ballot c
2010,Not applicable,Very happy,Protestant,Not applicable,Not harsh enough,Too little,Too little,About right,Slghtly conservative,Republican,Middle atlantic,Refused,Female,High school,21,Never married,Ballot a
2010,Not applicable,Pretty happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Democrat,Middle atlantic,$5000 to 5999,Female,Junior college,21,Never married,Ballot b
