Film,Script Type,Average critics ,Average audience ,Primary Genre,Opening Weekend,Domestic Gross,Foreign Gross,Worldwide Gross,Budget ($million),Release Date (US)
12 Strong,adaptation,54,64,drama,15815025,45500164,21533253,67033417,35,19-Jan-18
7 Days in Entebbe,based on a true story,38,49,thriller,1592645,3189220,5465548,8654768,,16-Mar-18
A Quiet Place,original screenplay,89,79,horror,50203562,188024361,144559086,332583447,17,6-Apr-18
A Simple Favor,adaptation,76,74,thriller,16011689,53548586,41285014,94833600,20,14-Sep-18
A Star is Born,remake,89,84,drama,42908051,202110867,188000000,390110867,36,5-Oct-18
A Wrinkle in Time,adaptation,48,29,adventure,33123609,100478608,32197256,132675864,125,9-Mar-18
A.X.L.,original screenplay,32,57,drama,2798229,3000943,-,3000943,10,24-Aug-18
Action Point,original screenplay,28,33,comedy,2390164,5059608,-,5059608,19,1-Jun-18
Adrift,based on a true story,65,65,drama,11603039,31445011,21900001,53345012,35,1-Jun-18
Alpha,original screenplay,73,74,adventure,10352512,21083037,8752823,29835860,51,17-Aug-18
American Animals,based on a true story,76,83,thriller,134793,2853526,-,2853526,3,1-Jun-18
Annihilation,adaptation,83,69,thriller,11071584,32732301,-,32732301,40,23-Feb-18
Ant-Man and the Wasp,sequel,79,77,action,75812205,211630916,333301651,544932567,195,6-Jul-18
Aquaman ,adaptation,60,77,action,67873522,259720880,681000000,940720880,160,21-Dec-18
Avengers: Infinity War,sequel,76,88,action,257698183,678690536,1367467024,2046157560,321,27-Apr-18
Baaghi 2,sequel,-,-,action,650722,1319579,29890510,31210089,8.41,30-Mar-18
Bad Samaritan,original screenplay,48,69,thriller,1726868,3424744,-,3424744,,4-May-18
Bad Times at the El Royale,original screenplay,67,75,thriller,7132647,17839115,13777762,31616877,32,12-Oct-18
Beirut (aka The Negotiator),original screenplay,76,61,action,1734497,5019226,2239308,7258534,,13-Apr-18
Black Panther,original screenplay,93,73,action,202003951,700059566,646784468,1346844034,205,16-Feb-18
BlacKkKlansman,based on a true story,89,78,thriller,10845330,32316575,9325905,41642480,15,10-Aug-18
Blindspotting,original screenplay,85,85,drama,338999,4153783,25419,4179202,,20-Jul-18
Blockers,original screenplay,76,56,comedy,20556350,59839515,33835271,93674786,21,6-Apr-18
Bohemian Rhapsody,based on a true story,56,86,drama,51061119,193673825,550032290,743706115,52,2-Nov-18
Book Club,original screenplay,53,53,comedy,13582231,68566296,-,68566296,10,18-May-18
Breaking In,original screenplay,35,36,thriller,17630285,46383120,4545500,50928620,6,11-May-18
Bumblebee,sequel,80,78,sci-fi,21654047,97128140,192000000,289128140,135,21-Dec-18
Call Me By Your Name,"adaptation, sequel",94,82,drama,1437889,18095701,23603117,41698818,3.5,26-Jan-18
Chappaquiddick,based on a true story,74,72,thriller,5765854,17395521,591150,17986671,34,6-Apr-18
Christopher Robin,adaptation,65,82,adventure,24585139,78163501,37391937,115555438,75,3-Aug-18
Crazy Rich Asians,adaptation,84,80,comedy,26510140,79282410,11603963,90886373,30,15-Aug-18
Creed II,sequel,75,79,drama,35574710,114388337,30300000,144688337,50,21-Nov-18
Deadpool 2,sequel,74,82,action,125507153,318402623,415641416,734044039,110,18-May-18
Death Wish,remake,24,73,action,13010267,34017028,-,34017028,30,2-Mar-18
Den of Thieves,original screenplay,45,63,action,15206108,44947622,35562000,80509622,30,19-Jan-18
Detective Chinatown 2,sequel,51,-,action,704047,1983984,542077932,544061916,,16-Feb-18
Disobedience,adaptation,80,77,drama,237393,3480702,3145322,6626024,6,18-May-18
Dog Days,original screenplay,53,74,romance,2554766,6611475,-,6611475,10,10-Aug-18
Dr Seuss' The Grinch,adaptation,55,60,animation,67572855,269612735,228700000,498312735,75,9-Nov-18
